full_visitor_id,visit_id,transactions,revenue
0007617910709180468,1481559832,1,21.99
0014253006455543633,1487545280,1,64.99
0015950283479889703,1488148550,1,5.5
0020342483972052451,1481074662,1,99.15
0024314485741511650,1482891024,1,243.75
0024725579067754075,1483638411,1,33.76
0027729301290398668,1484712595,1,64.17
0036194035121102485,1486494742,1,249.78
0044869357011346837,1483802210,1,59.97
0047471876951764213,1482340797,1,20.59
0047509547902079820,1485544215,1,29.56
0047868538532140235,1484744069,1,118.94
0049832664882617771,1487473668,1,49.79
0053010816158486672,1487175167,1,63.78
0053077699040878872,1481204256,1,27.99
005339642194263188,1481910399,1,15.47
0053544367470918772,1481059277,1,728.38
0054279989591037024,1485026562,1,88.19
0059545191328861629,1481114207,1,91.77
0060873674881142784,1484258736,1,42.17
0063706256894298571,1482707645,1,99.97
0068546456225736307,1481400602,1,23.97
0069780920436052632,1479231701,1,487.6
0069975515256019300,1478548133,1,55.37
0076529729049367813,1482366901,1,65.99
0081840705529000272,1483557886,1,127.96
0083964139069484153,1480547131,1,24.19
0084741906853491251,1481847636,1,93.99
0085057281729508802,1483421832,1,39.37
009046037663524262,1487112693,1,42.58
0092577710025173656,1487700602,1,664.86
0101246539776970727,1482345371,1,176.6
0102127042498450827,1481504013,1,28.38
0102127042498450827,1481913181,1,19.98
0103488992784926412,1481907276,1,72.94
0105953259825061684,1487371091,1,36.59
0111261597665013586,1479703276,1,24.33
011223364686614335,1485789961,1,42.97
0113842242927238752,1482527949,1,173.72
0114215561909122661,1488353173,2,1108.7
0114893528564579143,1482106474,1,28.98
0117006987850476291,1484462565,1,6.98
0123061672608906745,1479495304,1,22.99
0128830210468179660,1479336664,1,40.78
0129621051269020257,1478752887,1,27.19
0131875932724045086,1480111178,1,65.37
0134543573456503980,1478209537,1,125.29
0134543573456503980,1478727098,1,37.56
0134817585377058947,1484860279,1,152.45
0135432212707864703,1481331493,1,36.98
0152778576197288117,1485840660,1,45.99
0156015502078053139,1480349587,1,13.38
0156140817362296281,1487265657,1,17.99
0157339933798750931,1482032374,1,47.79
0159084910202112487,1483552413,1,22.37
0161009524292009252,1478193327,1,61.99
0165267667365212716,1479751970,1,52.94
016600374334482677,1479337500,1,32.16
0166887489328887096,1480361997,1,64.97
0170940722150121590,1481400754,1,47.98
0175318834283875506,1486157107,1,469.8
0175318834283875506,1487093716,1,68.8
0175518117099857981,1481479519,1,90.98
0175697895967494517,1481928277,1,12.97
0178222732694337574,1486001825,2,39.98
0180933733703571150,1480297517,1,97.36
0190642816438085656,1478204871,1,342.25
0190642816438085656,1481214256,1,38.8
0196352031623164153,1481305939,1,18.59
0197277329550470329,1478890513,1,479.0
0199007580877867026,1487433407,1,17.99
0199117534740864877,1483672623,1,227.6
0199756139590139879,1485791810,2,601.1
0199756139590139879,1485974069,3,983.53
0200510094584379080,1480877949,1,42.35
0200858359127299953,1480642110,1,87.19
0204360574486607491,1481413836,1,42.33
0208951486693076734,1480346874,1,36.78
0210005071508705826,1479146483,1,88.98
0210797287974741332,1483636028,1,42.97
0211475535612871703,1487556434,1,85.42
0211475535612871703,1487859702,1,17.0
0211986650009953276,1483568879,1,606.95
0213071560453106423,1480533329,1,28.18
0214776722271775969,1486076177,1,278.7
0216379390200329933,1484334309,1,127.77
0220695720492664721,1487520984,1,54.37
0223683667601132018,1481060961,1,35.78
0223683667601132018,1481774509,1,17.19
0225621684999318305,1479406146,1,18.59
0226612145817715297,1478668523,1,30.97
0227223667732638007,1484144991,1,15.2
0230412258531789338,1481924464,1,57.77
0231481887069911183,1482343767,1,52.79
0239598330790272854,1483927668,1,88.99
0243955375764569680,1482339092,1,167.15
0244256673220806549,1481951732,1,91.37
0244766556983704128,1478387313,1,66.96
0246574639180766080,1480722169,1,57.37
0248816373515809143,1478573186,1,78.11
0249200089780217479,1482303690,1,45.47
0255313102890306362,1482013201,1,25.99
0264439262506145643,1486482905,1,42.98
0267986414856681204,1479405334,1,53.97
0267986414856681204,1480915628,1,42.38
02709834583138581,1481929104,1,9.99
0273584168531981189,1487370924,1,40.59
0277222292888807077,1481251857,1,57.97
0290663072707523580,1484344382,1,248.3
029131400687020410,1479333542,1,758.63
029131400687020410,1483470881,1,139.32
0308396243566145332,1484843363,1,45.96
0313128019616030998,1478740345,1,45.97
0314533611538644167,1487007915,1,30.78
0317661710948460673,1479319038,1,46.59
0319620292000180209,1486004391,1,20.98
0321747208131220508,1487803462,1,306.7
032685444859747984,1485389275,1,471.87
0333033833560922860,1479804246,1,182.96
0334916383849466701,1484262900,1,48.59
