full_visitor_id,touchpoint_path,converted
0000020424342248747,Organic Search,0
0000027376579751715,Organic Search,0
0000040862739425590,Paid Search > Paid Search,0
0000174067426171406,Organic Search > Organic Search,0
0000176652019531658,Social,0
000033471059618621,Social,0
0000388388833742701,Social,0
0000426241577666985,Social,0
0000485418944539313,Organic Search > Organic Search,0
0000496879625382660,Social,0
0000500012543476818,Referral,0
0000538867824729259,Direct,0
0000543175149799625,Social,0
0000596526477588172,Organic Search,0
0000613897283848534,Referral,0
0000641787877778885,Organic Search,0
0000649777500417577,Organic Search > Organic Search,0
0000677695778949032,Direct > Direct > Referral,0
000072202462202136,Organic Search,0
0000750929315523353,Organic Search,0
0000786859828288100,Social,0
000082001414223176,Organic Search,0
0000837258363541233,Direct,0
000084172700693338,Social,0
0000868642619324829,Organic Search,0
0000905545967921428,Organic Search,0
0000914374659094152,Social,0
0000945784447887116,Organic Search,0
0001076216361964073,Organic Search,0
0001135797705136475,Social,0
0001156383977201253,Organic Search,0
0001165396754109927,Social,0
0001213046045394417,Direct,0
0001235242196175467,Organic Search,0
0001248080646686957,Direct,0
0001277385672710758,Social,0
0001331947010319592,Organic Search > Organic Search > Organic Search,0
0001408570112060324,Social,0
0001459455618502072,Organic Search,0
0001636522687991766,Social,0
0001647474523979513,Organic Search,0
0001697751732723625,Organic Search,0
0001773027863872937,Social,0
0001841185112953535,Organic Search,0
0001858327036304483,Organic Search,0
0001887645980862868,Organic Search,0
0001960337656851524,Social,0
0001991890683572652,Social,0
0002049055576529634,Organic Search,0
0002051879989764781,Paid Search,0
0002113059720701099,Organic Search,0
0002143786952964882,Organic Search,0
0002155305623028630,Social,0
0002226865590795639,Direct > Organic Search > Organic Search,0
0002255829369905568,Organic Search,0
0002388540523328376,Social,0
0002438548636224069,Organic Search,0
0002464975309794227,Social,0
0002536169636480704,Social,0
0002746729524999850,Organic Search,0
0002770097844692752,Organic Search,0
000283774309989724,Organic Search,0
0003014074054010999,Paid Search > Paid Search,0
000302456742233463,Social,0
000302540561900883,Organic Search,0
0003048345911092526,Social,0
000307556418998859,Organic Search,0
0003088359819866188,Social,0
0003190859517651877,Social,0
0003197319725487389,Social,0
000320631645648174,Organic Search,0
0003297619580760716,Direct,0
0003301836205804484,Organic Search,0
0003392229827194243,Organic Search,0
0003455588034794695,Organic Search,0
0003465185842457074,Direct,0
0003466641382018027,Organic Search,0
0003542504412918566,Organic Search,0
0003554472748140179,Organic Search,0
000355878339783044,Organic Search,0
00035794135966385,Direct,0
000358027242270102,Organic Search > Paid Search > Organic Search,0
0003586717489962838,Social,0
0003609386088574800,Referral,0
0003646785541094329,Organic Search,0
0003678736652288155,Social,0
0003754202390878028,Organic Search,0
0003816501532259309,Organic Search,0
0003842812309646950,Referral,0
0003961110741104601,Organic Search,0
0004186385457250117,Direct,0
0004204957972065597,Organic Search,0
0004335832442297547,Organic Search,0
0004359630748414109,Organic Search,0
0004430211356450372,Social,0
0004432532374025334,Social,0
0004658613138888311,Referral,0
0004703018749311015,Affiliates,0
0004709756648508475,Organic Search,0
0004731470319580136,Direct,0
0004760210189009868,Social,0
0004867638405459898,Direct,0
0004926547321345830,Organic Search,0
0004964943560913819,Referral,0
0004986601358137832,Social,0
0004989125742297097,Organic Search,0
0005045990529285434,Organic Search,0
0005058982040886984,Social,0
0005085487390034367,Organic Search,0
0005113509587349615,Social > Social > Social > Social,0
0005151654836353550,Referral,0
0005224157940049074,Referral,0
000523898361254604,Referral > Referral,0
0005278730264475678,Paid Search,0
0005320110831250105,Social,0
0005375044870917334,Organic Search,0
0005377717585462553,Social,0
0005418520506164890,Direct,0
000544056409085821,Organic Search,0
0005501684003422493,Social,0
0005521426141960240,Organic Search,0
0005581475094829152,Organic Search,0
0005604256236421547,Direct,0
0005632003733532109,Social,0
0005703676124397865,Organic Search > Organic Search,0
0005776281562199569,Direct,0
0005779430370582911,Social,0
0005788546660556067,Social,0
0005894309095425832,Social,0
0005964519549395216,Organic Search,0
0005965189295058765,Organic Search,0
0006010179560297284,Direct,0
000603138659912425,Direct > Direct,0
0006054419076885007,Social,0
0006113355075403011,Organic Search,0
000614761893770079,Paid Search,0
0006167988871087633,Organic Search,0
0006223389939916936,Social,0
0006228290659746608,Referral,0
0006260606501254792,Paid Search,0
0006263907339768115,Paid Search > Organic Search,0
0006329017397098241,Organic Search,0
0006335275275140359,Social,0
000633757804366723,Social,0
0006401728158192560,Direct,0
0006439966371227399,Social,0
0006506653828422071,Organic Search > Organic Search,0
0006567963610175367,Social,0
0006631383076115235,Organic Search,0
0006633498946992652,Organic Search,0
0006670515720168017,Organic Search,0
000672465196629740,Direct,0
0006743023375429011,Direct > Direct > Direct,0
0006746295360194683,Direct,0
0006763804278327395,Organic Search,0
0006815897690710127,Direct,0
0006825549445979163,Paid Search > Paid Search,0
0006852739278702844,Organic Search,0
000689210164197666,Social,0
0006925191027580376,Organic Search,0
000696790665307308,Affiliates > Affiliates,0
0006972685091967991,Referral,0
0006985079521492490,Social,0
0007017338788812056,Social,0
000710448170978711,Organic Search,0
0007126784149563855,Social,0
0007128081300304987,Social,0
0007141263466269868,Direct,0
0007191508490573118,Direct,0
0007227810877422207,Social,0
0007320860683709329,Organic Search,0
0007378361736355616,Affiliates,0
0007464714939874350,Referral > Social,0
0007476459340319279,Organic Search,0
0007558188367445646,Social,0
0007617910709180468,Organic Search > Organic Search > Organic Search,1
0007710620682427088,Organic Search,0
0007738031110778589,Direct,0
0007748784334172727,Organic Search,0
0007755390425729720,Organic Search,0
000775897351064931,Organic Search,0
0007868723093765239,Direct,0
0007950316107280774,Social,0
0007962122530908844,Organic Search,0
000798595710895296,Social,0
0008034334063658551,Direct,0
0008087522416297218,Social,0
0008088727011810946,Social,0
0008101238577441421,Referral,0
0008133452769769251,Direct,0
0008149076280761975,Social,0
0008164774926038173,Social,0
0008274580108991887,Social,0
0008347471965012495,Social,0
0008470300513991670,Social,0
0008489440321271222,Referral,0
0008543502700911746,Referral,0
0008543716502001544,Organic Search,0
0008653504047740326,Organic Search,0
0008712721509172492,Organic Search,0
0008729874920123501,Social,0
0008731780899941045,Organic Search > Referral,0
000876883925928649,Organic Search,0
0008781827140077859,Paid Search,0
0008803609936035742,Social,0
0008833576770625169,Social,0
0008841063916474380,Organic Search,0
0008883370803863129,Social,0
0008898709136450518,Organic Search,0
0008899426680825169,Social,0
0008982327796829635,Social,0
0009038723733767042,Organic Search,0
0009101120723375357,Organic Search,0
0009117057581607751,Organic Search,0
0009124901753619167,Referral,0
0009170418199842115,Organic Search,0
000923747808925443,Social,0
0009272663217476733,Social,0
0009325056032135446,Organic Search,0
000935077055008979,Social,0
000937838020298941,Social > Social,0
0009407102725292333,Organic Search,0
0009443688700945926,Social,0
0009451916890552303,Social,0
0009481129194506502,Social,0
0009514362385110067,Affiliates,0
0009521604379889327,Social,0
0009524745653361380,Organic Search,0
0009577943039128807,Organic Search > Organic Search,0
000958174327218501,Organic Search > Organic Search,0
0009653656497354194,Social,0
0009678525825120926,Referral,0
0009698866295854774,Affiliates,0
0009722764780116269,Social,0
0009734103988256050,Organic Search,0
0009805702406011320,Social > Social,0
0009807647176187138,Organic Search,0
0009820827447495714,Organic Search,0
0009834325573666752,Direct,0
0009843613836189950,Direct,0
0009864290941793865,Social,0
0009864928691301984,Social,0
0009868639900193602,Organic Search,0
0009874601725296379,Social,0
0010131735635356180,Organic Search,0
0010139630127279334,Social > Social > Social,0
001015884641941816,Organic Search,0
0010168878280038048,Organic Search,0
001018050431141992,Organic Search > Organic Search,0
0010189735510750860,Organic Search,0
0010218080556574256,Direct,0
001029469340898033,Social,0
001029705998137886,Social,0
0010304823114469097,Affiliates,0
0010320965075770686,Social,0
0010394362989787191,Organic Search,0
0010433607225034821,Organic Search,0
0010501967294109450,Organic Search,0
0010580717034575840,Organic Search,0
0010609252662029743,Social,0
0010731847277496912,Social,0
0010744163063113671,Social,0
001078179952526560,Social,0
